961.031	5
961.072	7
961.113	-6
961.154	-9
961.194	-1
961.235	-5
961.276	2
961.316	12
961.357	-4
961.398	-6
961.439	-3
961.479	0
961.52	7
961.561	-5
961.602	4
961.642	-2
961.683	1
961.724	6
961.765	0
961.805	-1
961.846	9
961.887	-1
961.927	8
961.968	0
962.009	9
962.05	7
962.09	3
962.131	-6
962.172	5
962.213	5
962.253	-3
962.294	6
962.335	5
962.375	-2
962.416	2
962.457	0
962.498	-10
962.538	1
962.579	2
962.62	0
962.66	-7
962.701	0
962.742	4
962.783	-7
962.823	4
962.864	-2
962.905	-5
962.945	-4
962.986	-1
963.027	-3
963.068	-3
963.108	1
963.149	3
963.19	-4
963.23	-1
963.271	-1
963.312	-1
963.353	-1
963.393	53
963.434	5
963.475	-3
963.515	6
963.556	-2
963.597	-4
963.638	4
963.678	4
963.719	-1
963.76	-1
963.8	-2
963.841	1
963.882	1
963.923	-2
963.963	5
964.004	6
964.045	3
964.085	-1
964.126	6
964.167	-5
964.208	-1
964.248	1
964.289	-1
964.33	2
964.37	1
964.411	4
964.452	-3
964.492	6
964.533	-11
964.574	7
964.615	0
964.655	9
964.696	2
964.737	3
964.777	-3
964.818	-4
964.859	0
964.899	14
964.94	-4
964.981	4
965.022	6
965.062	8
965.103	1
965.144	0
965.184	6
965.225	-4
965.266	1
965.306	-1
965.347	-8
965.388	-5
965.428	2
965.469	-3
965.51	-8
965.551	-4
965.591	-3
965.632	0
965.673	2
965.713	7
965.754	-4
965.795	-2
965.835	1
965.876	2
965.917	3
965.957	2
965.998	-3
966.039	1
966.08	2
966.12	-6
966.161	2
966.202	1
966.242	-4
966.283	-1
966.324	1
966.364	0
966.405	8
966.446	4
966.486	5
966.527	-4
966.568	4
966.608	3
966.649	-2
966.69	9
966.73	1
966.771	6
966.812	3
966.852	-1
966.893	6
966.934	2
966.975	-6
967.015	-3
967.056	6
967.097	-1
967.137	1
967.178	4
967.219	7
967.259	-4
967.3	9
967.341	-5
967.381	0
967.422	7
967.463	0
967.503	0
967.544	1
967.585	-1
967.625	-12
967.666	11
967.707	0
967.747	4
967.788	-2
967.829	3
967.869	3
967.91	-2
967.951	3
967.991	1
968.032	-9
968.073	-5
968.113	-3
968.154	5
968.195	7
968.235	3
968.276	5
968.317	3
968.357	-3
968.398	-10
968.439	4
968.479	-1
968.52	6
968.561	-1
968.601	6
968.642	2
968.683	-1
968.723	3
968.764	9
968.805	2
968.845	7
968.886	3
968.927	5
968.967	-11
969.008	1
969.049	6
969.089	-10
969.13	1
969.171	4
969.211	-5
969.252	5
969.292	6
969.333	-2
969.374	1
