Source: Spectrum Viewer
Chart: Pulse Spectrum
Series: 
Wavelength (nm)	S (a.u.)
615.115	429
615.142	436
615.17	429
615.198	441
615.225	453
615.253	435
615.28	440
615.308	435
615.336	441
615.363	437
615.391	433
615.418	435
615.446	440
615.473	436
615.501	427
615.529	440
615.556	416
615.584	437
615.611	440
615.639	442
615.666	453
615.694	415
615.722	453
615.749	437
615.777	454
615.804	429
615.832	425
615.859	460
615.887	442
615.915	423
615.942	439
615.97	427
615.997	455
616.025	451
616.052	435
616.08	432
616.108	441
616.135	433
616.163	449
616.19	419
616.218	427
616.245	450
616.273	442
616.3	441
616.328	426
616.356	431
616.383	453
616.411	469
616.438	421
616.466	427
616.493	426
616.521	451
616.548	435
616.576	411
616.603	435
616.631	440
616.659	434
616.686	437
616.714	433
616.741	433
616.769	450
616.796	434
616.824	466
616.851	447
616.879	433
616.906	451
616.934	431
616.961	465
616.989	434
617.017	434
617.044	461
617.072	442
617.099	446
617.127	461
617.154	437
617.182	419
617.209	446
617.237	440
617.264	425
617.292	427
617.319	420
617.347	426
617.374	433
617.402	427
617.429	420
617.457	425
617.484	434
617.512	437
617.54	447
617.567	438
617.595	432
617.622	439
617.65	430
617.677	434
617.705	448
617.732	437
617.76	442
617.787	436
617.815	431
617.842	448
617.87	431
617.897	447
617.925	432
617.952	436
617.98	420
618.007	432
618.035	429
618.062	462
618.09	425
618.117	421
618.145	433
618.172	441
618.2	428
618.227	432
618.255	456
618.282	441
618.31	437
618.337	450
618.365	427
618.392	418
618.42	462
618.447	445
618.475	436
618.502	445
618.53	429
618.557	444
618.585	434
618.612	442
618.64	436
618.667	426
618.695	434
618.722	447
618.749	433
618.777	427
618.804	437
618.832	453
618.859	429
618.887	424
618.914	423
618.942	419
618.969	427
618.997	442
619.024	437
619.052	433
619.079	425
619.107	430
619.134	440
619.162	442
619.189	427
619.217	442
619.244	423
619.271	433
619.299	443
619.326	418
619.354	444
619.381	426
619.409	453
619.436	449
619.464	451
619.491	433
619.519	413
619.546	429
619.574	432
619.601	432
619.628	431
619.656	433
619.683	433
619.711	432
619.738	435
619.766	427
619.793	454
619.821	427
619.848	449
619.876	419
619.903	440
619.93	427
619.958	435
619.985	422
620.013	438
620.04	432
620.068	442
620.095	430
620.123	430
620.15	448
620.177	437
620.205	451
620.232	449
620.26	425
620.287	433
620.315	420
620.342	438
620.369	440
620.397	426
620.424	427
620.452	437
620.479	443
620.507	451
620.534	451
620.562	432
620.589	454
620.616	430
620.644	437
620.671	434
620.699	441
620.726	436
620.753	422
620.781	406
620.808	448
620.836	433
620.863	419
620.891	425
620.918	439
620.945	443
620.973	434
621	438
621.028	434
621.055	452
621.083	427
621.11	433
621.137	429
621.165	456
621.192	437
621.22	417
621.247	433
621.274	435
621.302	440
621.329	433
