Source: Spectrum Viewer
Chart: Pulse Spectrum
Series: 
Wavelength (nm)	S (a.u.)
662.58	459
662.606	464
662.632	466
662.658	442
662.685	449
662.711	460
662.737	439
662.763	431
662.789	439
662.815	449
662.842	436
662.868	434
662.894	418
662.92	431
662.946	430
662.972	438
662.998	451
663.025	438
663.051	423
663.077	452
663.103	430
663.129	440
663.155	439
663.182	427
663.208	427
663.234	446
663.26	432
663.286	464
663.312	446
663.338	440
663.365	451
663.391	417
663.417	417
663.443	437
663.469	447
663.495	435
663.521	452
663.547	447
663.574	427
663.6	429
663.626	429
663.652	447
663.678	413
663.704	425
663.73	438
663.757	471
663.783	422
663.809	430
663.835	438
663.861	442
663.887	413
663.913	422
663.939	452
663.966	444
663.992	450
664.018	443
664.044	456
664.07	439
664.096	441
664.122	427
664.148	425
664.175	440
664.201	454
664.227	425
664.253	427
664.279	432
664.305	429
664.331	448
664.357	449
664.383	436
664.41	435
664.436	441
664.462	437
664.488	435
664.514	427
664.54	430
664.566	429
664.592	443
664.618	444
664.645	432
664.671	437
664.697	424
664.723	437
664.749	434
664.775	445
664.801	433
664.827	423
664.853	443
664.879	449
664.906	443
664.932	459
664.958	440
664.984	438
665.01	434
665.036	430
665.062	449
665.088	430
665.114	434
665.14	437
665.166	430
665.192	436
665.219	425
665.245	433
665.271	446
665.297	436
665.323	424
665.349	433
665.375	438
665.401	428
665.427	449
665.453	433
665.479	444
665.505	439
665.532	453
665.558	439
665.584	419
665.61	419
665.636	429
665.662	425
665.688	429
665.714	451
665.74	423
665.766	455
665.792	441
665.818	469
665.844	416
665.87	454
665.897	433
665.923	450
665.949	458
665.975	429
666.001	431
666.027	439
666.053	446
666.079	437
666.105	423
666.131	419
666.157	445
666.183	438
666.209	447
666.235	434
666.261	437
666.287	456
666.313	445
666.339	439
666.366	453
666.392	453
666.418	431
666.444	429
666.47	431
666.496	447
666.522	429
666.548	437
666.574	432
666.6	437
666.626	414
666.652	412
666.678	453
666.704	449
666.73	444
666.756	421
666.782	417
666.808	425
666.834	430
666.86	444
666.886	429
666.912	441
666.938	421
666.964	439
666.991	430
667.017	437
667.043	445
667.069	430
667.095	419
667.121	452
667.147	435
667.173	446
667.199	446
667.225	449
667.251	422
667.277	442
667.303	457
667.329	445
667.355	444
667.381	443
667.407	431
667.433	433
667.459	423
667.485	431
667.511	436
667.537	433
667.563	433
667.589	445
667.615	452
667.641	449
667.667	415
667.693	441
667.719	432
667.745	427
667.771	417
667.797	442
667.823	425
667.849	425
667.875	419
667.901	441
667.927	433
667.953	446
667.979	425
668.005	449
668.031	459
668.057	443
668.083	434
668.109	432
668.135	437
668.161	434
668.187	459
668.213	449
668.239	426
668.265	426
668.291	429
668.317	470
668.343	438
668.369	430
668.395	418
668.421	450
668.447	405
668.473	430
668.499	429
668.525	435
668.551	445
668.577	445
668.603	431
668.629	433
668.655	436
668.681	452
668.707	467
668.733	447
668.759	429
668.785	452
668.811	455
668.837	429
668.863	430
668.889	465
668.915	451
668.941	453
668.966	415
668.992	424
669.018	433
669.044	419
669.07	401
669.096	428
669.122	449
669.148	433
669.174	445
669.2	454
669.226	437
669.252	442
669.278	430
669.304	437
669.33	446
669.356	445
669.382	428
669.408	433
669.434	429
669.46	417
669.486	423
669.512	449
669.538	441
669.564	430
669.59	442
669.615	438
669.641	433
669.667	451
669.693	426
669.719	436
669.745	429
669.771	471
669.797	439
669.823	439
669.849	455
669.875	446
669.901	426
669.927	443
669.953	433
669.979	423
670.005	427
670.031	432
670.056	425
670.082	446
670.108	423
670.134	423
670.16	425
670.186	447
670.212	426
670.238	433
670.264	442
670.29	440
670.316	430
670.342	430
670.368	451
670.394	448
670.419	425
670.445	411
670.471	448
670.497	441
670.523	455
670.549	432
670.575	429
670.601	427
670.627	442
670.653	436
670.679	442
670.705	421
670.731	458
670.756	443
670.782	429
670.808	429
670.834	426
670.86	447
670.886	452
670.912	436
670.938	438
670.964	416
670.99	442
671.016	433
671.041	428
671.067	443
671.093	427
671.119	433
671.145	431
671.171	436
671.197	447
671.223	455
671.249	431
671.275	429
671.3	442
671.326	434
671.352	456
671.378	438
671.404	483
671.43	443
671.456	415
671.482	411
671.508	438
671.533	431
671.559	433
671.585	431
671.611	428
671.637	443
671.663	433
671.689	420
671.715	437
671.741	419
671.766	443
671.792	417
671.818	417
671.844	432
671.87	461
671.896	443
671.922	433
671.948	437
671.973	437
671.999	419
672.025	441
672.051	433
672.077	414
672.103	438
672.129	441
672.155	402
672.18	423
672.206	439
672.232	447
672.258	450
672.284	435
672.31	444
672.336	435
672.362	430
672.387	444
672.413	431
672.439	433
672.465	437
672.491	426
672.517	433
672.543	437
672.568	418
672.594	446
672.62	431
672.646	429
672.672	432
672.698	452
672.724	443
672.749	435
672.775	420
672.801	430
672.827	439
672.853	444
672.879	455
672.904	430
672.93	431
672.956	440
672.982	420
673.008	412
673.034	447
673.06	429
673.085	437
673.111	424
673.137	429
673.163	446
673.189	423
673.215	435
673.24	428
673.266	413
673.292	449
673.318	422
673.344	437
673.37	417
673.395	429
673.421	436
673.447	429
673.473	425
673.499	445
673.525	430
673.55	423
673.576	447
673.602	435
673.628	433
673.654	433
673.68	428
673.705	426
673.731	433
673.757	432
673.783	432
673.809	459
673.834	439
673.86	416
673.886	427
673.912	446
673.938	441
673.964	441
673.989	450
674.015	425
674.041	450
674.067	430
674.093	434
674.118	413
674.144	413
674.17	438
674.196	430
674.222	431
674.247	432
674.273	452
674.299	430
674.325	436
674.351	423
674.376	433
674.402	435
674.428	425
674.454	439
674.48	410
674.505	419
674.531	448
674.557	446
674.583	444
674.609	421
674.634	438
674.66	427
674.686	431
674.712	434
674.738	427
674.763	434
674.789	445
674.815	436
674.841	419
674.867	459
674.892	462
674.918	428
674.944	424
674.97	427
674.995	451
675.021	447
675.047	499
675.073	503
675.099	465
675.124	451
675.15	443
675.176	449
675.202	440
675.227	507
675.253	506
675.279	433
675.305	427
675.331	435
675.356	437
675.382	442
675.408	439
675.434	435
675.459	439
675.485	433
675.511	455
675.537	428
675.562	416
675.588	421
675.614	450
675.64	447
675.665	452
675.691	422
675.717	451
675.743	425
675.769	425
675.794	417
675.82	435
675.846	438
675.872	427
675.897	437
675.923	441
675.949	447
675.975	462
676	439
676.026	430
676.052	411
676.078	433
676.103	431
676.129	435
676.155	428
676.181	440
676.206	440
676.232	470
676.258	422
676.283	457
676.309	437
676.335	443
676.361	433
676.386	415
676.412	436
676.438	430
676.464	430
676.489	425
676.515	435
676.541	425
676.567	450
676.592	428
676.618	433
676.644	426
676.67	450
676.695	463
676.721	440
676.747	421
676.772	402
676.798	445
676.824	417
676.85	432
676.875	422
676.901	444
676.927	443
676.952	432
676.978	428
677.004	438
677.03	429
677.055	431
677.081	441
677.107	450
677.133	458
677.158	421
677.184	436
677.21	449
677.235	409
677.261	454
677.287	424
677.312	434
677.338	436
677.364	420
677.39	428
677.415	438
677.441	431
677.467	445
677.492	437
677.518	434
677.544	427
677.57	451
677.595	440
677.621	435
677.647	437
677.672	435
677.698	449
677.724	428
677.749	439
677.775	430
677.801	448
677.827	440
677.852	440
677.878	441
677.904	431
677.929	433
677.955	425
677.981	435
678.006	439
678.032	449
678.058	436
678.083	441
678.109	421
678.135	450
678.16	438
678.186	437
678.212	436
678.238	425
678.263	417
678.289	449
678.315	411
678.34	423
678.366	403
678.392	437
678.417	441
678.443	431
678.469	424
678.494	434
678.52	445
678.546	430
678.571	447
678.597	433
678.623	418
678.648	426
678.674	417
678.7	445
678.725	434
678.751	422
678.777	448
678.802	440
678.828	426
678.854	451
678.879	436
678.905	436
678.931	438
678.956	429
678.982	437
679.008	453
679.033	439
679.059	426
679.085	443
679.11	429
679.136	435
679.161	421
679.187	428
679.213	425
679.238	445
679.264	446
679.29	445
679.315	453
679.341	418
679.367	433
679.392	437
679.418	435
679.444	440
679.469	439
679.495	444
679.52	399
679.546	427
679.572	466
679.597	441
679.623	417
679.649	423
679.674	435
679.7	435
679.726	440
679.751	449
679.777	441
679.802	465
679.828	437
679.854	427
679.879	435
679.905	443
679.931	437
679.956	427
679.982	453
680.008	426
680.033	449
680.059	438
680.084	411
680.11	432
680.136	449
680.161	429
680.187	445
680.212	438
680.238	457
680.264	437
680.289	414
680.315	424
680.341	445
680.366	433
680.392	435
680.417	425
680.443	439
680.469	436
680.494	438
680.52	429
680.545	432
680.571	455
680.597	430
680.622	433
680.648	437
680.673	437
680.699	451
680.725	438
680.75	425
680.776	420
680.801	439
680.827	429
680.853	421
680.878	447
680.904	441
680.929	426
680.955	443
680.981	427
681.006	440
681.032	447
681.057	434
681.083	413
681.109	457
681.134	436
681.16	435
681.185	417
681.211	437
681.237	435
681.262	427
681.288	416
681.313	443
681.339	462
681.364	416
681.39	447
681.416	437
681.441	440
681.467	423
681.492	439
681.518	465
681.544	451
681.569	433
681.595	429
681.62	446
681.646	443
681.671	441
681.697	448
681.723	441
681.748	443
681.774	445
681.799	414
681.825	441
681.85	422
681.876	453
681.902	425
681.927	457
681.953	445
681.978	447
682.004	406
682.029	439
682.055	421
682.08	439
682.106	439
682.132	434
682.157	447
682.183	435
682.208	435
682.234	439
682.259	451
682.285	453
682.31	456
682.336	446
682.362	419
682.387	427
682.413	427
682.438	432
682.464	433
682.489	447
682.515	430
682.54	438
682.566	425
682.591	449
682.617	450
682.643	433
682.668	445
682.694	443
682.719	412
682.745	461
682.77	421
682.796	435
682.821	421
682.847	423
682.872	425
682.898	419
682.923	415
682.949	435
682.975	423
683	433
683.026	420
683.051	427
683.077	439
683.102	436
683.128	439
683.153	445
683.179	442
683.204	446
683.23	414
683.255	423
683.281	438
683.306	427
683.332	427
683.357	423
683.383	447
683.408	431
683.434	448
683.459	445
683.485	419
683.511	427
683.536	424
683.562	468
683.587	437
683.613	440
683.638	423
683.664	437
683.689	419
683.715	439
683.74	451
683.766	423
683.791	424
683.817	452
683.842	440
683.868	425
683.893	430
683.919	451
683.944	432
683.97	435
683.995	420
684.021	458
684.046	433
684.072	427
684.097	433
684.123	444
684.148	433
684.174	455
684.199	441
684.225	438
684.25	444
684.276	430
684.301	460
684.327	443
684.352	422
684.378	437
684.403	433
684.429	422
684.454	438
684.479	453
684.505	424
684.53	446
684.556	413
684.581	410
684.607	407
684.632	433
684.658	457
684.683	443
684.709	441
684.734	463
684.76	442
684.785	421
684.811	437
684.836	456
684.862	425
684.887	436
684.913	426
684.938	427
684.964	426
684.989	420
685.014	443
685.04	445
685.065	427
685.091	426
685.116	414
685.142	430
685.167	446
685.193	429
685.218	438
685.244	423
685.269	429
685.295	432
685.32	419
685.345	438
685.371	442
685.396	428
685.422	443
685.447	441
685.473	441
685.498	453
685.524	438
685.549	426
685.575	451
685.6	452
685.625	443
685.651	450
685.676	440
685.702	426
685.727	442
685.753	457
685.778	428
685.804	430
685.829	434
685.854	437
685.88	419
685.905	453
685.931	454
685.956	471
685.982	423
686.007	443
686.032	431
686.058	444
686.083	416
686.109	454
686.134	457
686.16	419
686.185	423
686.211	434
686.236	428
686.261	452
686.287	438
686.312	416
686.338	445
686.363	444
686.388	434
686.414	438
686.439	430
686.465	437
686.49	463
686.516	443
686.541	445
686.566	449
686.592	469
686.617	443
686.643	445
686.668	446
686.694	426
686.719	466
686.744	425
686.77	436
686.795	443
686.821	456
686.846	421
686.871	424
686.897	436
686.922	437
686.948	432
686.973	438
686.998	433
687.024	430
687.049	424
687.075	447
687.1	428
687.125	439
687.151	417
687.176	459
687.202	435
687.227	449
687.252	431
687.278	438
687.303	431
687.329	461
687.354	438
687.379	437
687.405	453
687.43	429
687.456	442
687.481	425
687.506	439
687.532	420
687.557	431
687.582	425
687.608	427
687.633	436
687.659	410
687.684	435
687.709	412
687.735	429
687.76	441
687.786	451
687.811	442
687.836	441
687.862	451
687.887	427
687.912	430
687.938	437
687.963	438
687.989	439
688.014	449
688.039	461
688.065	473
688.09	449
688.115	443
688.141	445
688.166	436
688.192	448
688.217	457
688.242	474
688.268	496
688.293	453
688.318	437
688.344	434
688.369	428
688.394	413
688.42	435
688.445	453
688.47	442
688.496	461
688.521	444
688.547	418
688.572	440
688.597	428
688.623	439
688.648	412
688.673	446
688.699	454
688.724	450
688.749	437
688.775	444
688.8	443
688.825	433
688.851	441
688.876	432
688.901	448
688.927	431
688.952	433
688.977	428
689.003	434
689.028	457
689.053	450
689.079	437
689.104	461
689.13	415
689.155	439
689.18	427
689.206	425
689.231	428
689.256	432
689.282	437
689.307	433
689.332	443
689.358	421
689.383	449
689.408	428
689.433	446
689.459	423
689.484	425
689.509	461
689.535	427
689.56	446
689.585	444
689.611	448
689.636	449
689.661	454
689.687	436
689.712	427
689.737	422
689.763	440
689.788	431
689.813	446
689.839	423
689.864	445
689.889	445
689.915	435
689.94	471
689.965	418
689.99	432
690.016	434
690.041	428
690.066	452
690.092	439
690.117	457
690.142	413
690.168	434
690.193	438
690.218	439
690.244	420
690.269	453
690.294	430
690.319	447
690.345	435
690.37	448
690.395	432
690.421	440
690.446	449
690.471	438
690.496	448
690.522	420
690.547	433
690.572	445
690.598	447
690.623	437
690.648	423
690.674	446
690.699	420
690.724	433
690.749	422
690.775	446
690.8	439
690.825	443
690.851	423
690.876	457
690.901	457
690.926	429
690.952	449
690.977	433
691.002	446
691.027	433
691.053	431
691.078	434
691.103	435
691.129	448
691.154	435
691.179	417
691.204	429
691.23	438
691.255	433
691.28	442
691.305	429
691.331	431
691.356	445
691.381	425
691.407	423
691.432	430
691.457	453
691.482	432
691.508	433
691.533	436
691.558	431
691.583	433
691.609	428
691.634	432
691.659	420
691.684	429
691.71	433
691.735	433
691.76	435
691.785	461
691.811	436
691.836	431
691.861	448
691.886	443
691.912	445
691.937	459
691.962	443
691.987	428
692.013	455
692.038	427
692.063	438
692.088	445
692.114	434
692.139	442
692.164	441
692.189	451
692.215	434
692.24	451
692.265	435
692.29	449
692.315	441
692.341	437
692.366	437
692.391	449
692.416	447
692.442	453
692.467	439
692.492	441
692.517	430
692.543	419
692.568	427
692.593	457
692.618	435
692.643	432
692.669	438
692.694	437
692.719	435
692.744	440
692.77	462
692.795	423
692.82	421
692.845	445
692.87	451
692.896	453
692.921	455
692.946	446
692.971	453
692.997	438
693.022	445
693.047	435
693.072	425
693.097	437
693.123	438
693.148	444
693.173	427
693.198	446
693.223	453
693.249	447
693.274	429
693.299	454
693.324	442
693.349	449
693.375	446
693.4	443
693.425	441
693.45	449
693.475	470
693.501	452
693.526	455
693.551	435
693.576	441
693.601	456
693.627	439
693.652	428
693.677	449
693.702	463
693.727	462
693.753	450
693.778	455
693.803	476
693.828	439
693.853	448
693.879	446
693.904	449
693.929	441
693.954	442
693.979	429
694.004	441
694.03	456
694.055	432
694.08	430
694.105	439
694.13	427
694.156	467
694.181	439
694.206	437
694.231	434
694.256	457
694.281	422
694.307	463
694.332	443
694.357	461
694.382	468
694.407	449
694.432	434
694.458	449
694.483	433
694.508	459
694.533	473
694.558	445
694.583	454
694.609	443
694.634	439
694.659	479
694.684	441
694.709	454
694.734	454
694.759	452
694.785	432
694.81	451
694.835	479
694.86	466
694.885	465
694.91	434
694.936	440
694.961	436
694.986	455
695.011	453
695.036	478
695.061	459
695.086	446
695.112	437
695.137	446
695.162	455
695.187	445
695.212	454
695.237	460
695.262	455
695.288	452
695.313	481
695.338	466
695.363	453
695.388	447
695.413	456
695.438	454
695.464	446
695.489	462
695.514	462
695.539	439
695.564	443
695.589	437
695.614	475
695.639	461
695.665	472
695.69	457
695.715	457
695.74	461
695.765	452
695.79	442
695.815	467
695.84	465
695.866	461
695.891	449
695.916	457
695.941	451
695.966	480
695.991	467
696.016	445
696.041	450
696.067	478
696.092	463
696.117	459
696.142	478
696.167	443
696.192	447
696.217	461
696.242	437
696.267	453
696.293	470
696.318	461
696.343	462
696.368	469
696.393	470
696.418	443
696.443	466
696.468	454
696.493	455
696.519	465
696.544	471
696.569	479
696.594	492
696.619	453
696.644	463
696.669	463
696.694	441
696.719	488
696.744	457
696.769	471
696.795	445
696.82	491
696.845	463
696.87	486
696.895	469
696.92	449
696.945	470
696.97	465
696.995	441
697.02	457
697.045	455
697.071	461
697.096	481
697.121	463
697.146	456
697.171	467
697.196	467
697.221	464
697.246	484
697.271	447
697.296	470
697.321	486

